id,property,reviewer_name,reviewer_country,rating,review_date,text_liked,text_disliked,raw_text,scraped_at,source_url
native:seed-Darling Harbour-22,Darling Harbour,Guest826,Australia,3.5,2026-07-01,Wifi was fast and the breakfast spread was generous.,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.668952,
native:seed-Darling Harbour-19,Darling Harbour,Guest572,Singapore,8.7,2026-06-27,Staff were incredibly friendly and check-in was quick.,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.655611,
native:seed-Darling Harbour-4,Darling Harbour,Guest663,United Kingdom,7.9,2026-06-26,,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.578293,
native:seed-Darling Harbour-17,Darling Harbour,Guest950,Japan,4.4,2026-06-24,Staff were incredibly friendly and check-in was quick.,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.647133,
native:seed-Darling Harbour-23,Darling Harbour,Guest218,New Zealand,5.7,2026-06-21,,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.673085,
native:seed-Darling Harbour-24,Darling Harbour,Guest507,New Zealand,4.9,2026-06-21,,Air conditioning was broken and maintenance never came.,,2026-08-04T02:07:05.677549,
native:seed-Darling Harbour-1,Darling Harbour,Guest472,Japan,3.0,2026-06-20,Wifi was fast and the breakfast spread was generous.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.561308,
native:seed-Darling Harbour-2,Darling Harbour,Guest945,Japan,5.6,2026-06-17,"Great location, walking distance to everything we needed.","Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.566788,
native:seed-Darling Harbour-12,Darling Harbour,Guest895,Japan,8.8,2026-06-17,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.620083,
native:seed-Darling Harbour-13,Darling Harbour,Guest918,Singapore,8.3,2026-06-13,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.626270,
native:seed-Darling Harbour-14,Darling Harbour,Guest778,United States,3.0,2026-06-13,Room was spotless and the bed was very comfortable.,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.631354,
native:seed-Darling Harbour-6,Darling Harbour,Guest253,Australia,6.1,2026-06-09,Excellent value for money compared to nearby hotels.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.587630,
native:seed-Potts Point-18,Potts Point,Guest230,United States,9.6,2026-08-01,,,,2026-08-04T02:07:05.408257,
native:seed-Potts Point-9,Potts Point,Guest952,New Zealand,9.8,2026-07-27,"Great location, walking distance to everything we needed.","Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.369588,
native:seed-Potts Point-1,Potts Point,Guest313,Australia,5.8,2026-07-24,"Great location, walking distance to everything we needed.","Very noisy at night, could hear traffic through thin walls.",,2026-08-04T02:07:05.336688,
native:seed-Potts Point-12,Potts Point,Guest317,New Zealand,3.8,2026-07-24,,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.382404,
native:seed-Potts Point-10,Potts Point,Guest549,Singapore,8.4,2026-07-23,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.374920,
native:seed-Potts Point-11,Potts Point,Guest183,Singapore,10.0,2026-07-22,,,,2026-08-04T02:07:05.378693,
native:seed-Potts Point-3,Potts Point,Guest173,United States,7.3,2026-07-18,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.344971,
native:seed-Potts Point-17,Potts Point,Guest376,Australia,9.2,2026-07-16,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.403889,
native:seed-Potts Point-21,Potts Point,Guest697,Singapore,6.3,2026-07-15,,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.422543,
native:seed-Potts Point-16,Potts Point,Guest745,New Zealand,7.6,2026-07-09,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.398914,
native:seed-Potts Point-20,Potts Point,Guest504,New Zealand,8.8,2026-07-09,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.418290,
native:seed-Potts Point-4,Potts Point,Guest824,Japan,7.7,2026-07-08,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.348995,
native:seed-Potts Point-22,Potts Point,Guest908,United Kingdom,8.0,2026-07-05,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.426581,
native:seed-Potts Point-15,Potts Point,Guest399,Singapore,4.5,2026-07-02,,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.394946,
native:seed-Potts Point-5,Potts Point,Guest231,Singapore,8.1,2026-06-30,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.352790,
native:seed-Potts Point-24,Potts Point,Guest243,United Kingdom,9.9,2026-06-28,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.434978,
native:seed-Potts Point-0,Potts Point,Guest693,Singapore,9.4,2026-06-24,,,,2026-08-04T02:07:05.332553,
native:seed-Potts Point-19,Potts Point,Guest468,United States,7.3,2026-06-24,Staff were incredibly friendly and check-in was quick.,,,2026-08-04T02:07:05.412520,
native:seed-Potts Point-13,Potts Point,Guest473,New Zealand,9.2,2026-06-22,,,,2026-08-04T02:07:05.386532,
native:seed-Potts Point-8,Potts Point,Guest972,Japan,9.7,2026-06-20,"Great location, walking distance to everything we needed.",,,2026-08-04T02:07:05.365592,
native:seed-Potts Point-6,Potts Point,Guest812,Singapore,9.0,2026-06-19,Wifi was fast and the breakfast spread was generous.,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.357372,
native:seed-Potts Point-7,Potts Point,Guest440,United States,7.0,2026-06-18,,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.361733,
native:seed-Potts Point-2,Potts Point,Guest626,United States,9.7,2026-06-11,"Great location, walking distance to everything we needed.",,,2026-08-04T02:07:05.340708,
native:seed-Potts Point-14,Potts Point,Guest865,United Kingdom,5.5,2026-06-11,,Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.390709,
native:seed-Potts Point-23,Potts Point,Guest954,United Kingdom,5.2,2026-06-10,,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.430504,
native:seed-Surry Hills-1,Surry Hills,Guest505,New Zealand,7.0,2026-08-01,,,,2026-08-04T02:07:05.227058,
native:seed-Surry Hills-24,Surry Hills,Guest267,New Zealand,8.2,2026-07-29,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.328299,
native:seed-Surry Hills-11,Surry Hills,Guest536,Australia,4.1,2026-07-28,Wifi was fast and the breakfast spread was generous.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.271825,
native:seed-Surry Hills-2,Surry Hills,Guest972,Australia,9.9,2026-07-26,"Great location, walking distance to everything we needed.","Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.231284,
native:seed-Surry Hills-4,Surry Hills,Guest122,Japan,8.6,2026-07-26,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.239413,
native:seed-Surry Hills-8,Surry Hills,Guest606,New Zealand,7.7,2026-07-26,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.256246,
native:seed-Surry Hills-17,Surry Hills,Guest171,United Kingdom,5.9,2026-07-25,Room was spotless and the bed was very comfortable.,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.298146,
native:seed-Surry Hills-3,Surry Hills,Guest858,Australia,8.6,2026-07-20,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.235433,
native:seed-Surry Hills-20,Surry Hills,Guest712,Japan,7.6,2026-07-17,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.309601,
native:seed-Surry Hills-0,Surry Hills,Guest300,United Kingdom,5.9,2026-07-16,Room was spotless and the bed was very comfortable.,"Overpriced for what you get, room was smaller than expected.",,2026-08-04T02:07:05.223047,
native:seed-Surry Hills-10,Surry Hills,Guest511,Singapore,9.3,2026-07-15,"Great location, walking distance to everything we needed.",,,2026-08-04T02:07:05.265563,
native:seed-Surry Hills-12,Surry Hills,Guest299,New Zealand,6.0,2026-07-14,Staff were incredibly friendly and check-in was quick.,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.276611,
native:seed-Surry Hills-5,Surry Hills,Guest310,New Zealand,4.0,2026-07-06,Wifi was fast and the breakfast spread was generous.,Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.243702,
native:seed-Surry Hills-23,Surry Hills,Guest235,New Zealand,8.4,2026-07-06,,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.324581,
native:seed-Surry Hills-6,Surry Hills,Guest235,Australia,6.0,2026-07-04,,Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.248774,
native:seed-Surry Hills-14,Surry Hills,Guest494,Australia,7.4,2026-07-04,Wifi was fast and the breakfast spread was generous.,Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.284942,
native:seed-Surry Hills-15,Surry Hills,Guest346,New Zealand,6.5,2026-07-02,,Front desk staff were rude when we asked about late checkout.,,2026-08-04T02:07:05.289514,
native:seed-Surry Hills-16,Surry Hills,Guest318,United Kingdom,9.5,2026-07-01,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.294358,
native:seed-Surry Hills-19,Surry Hills,Guest403,New Zealand,9.8,2026-07-01,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.305716,
native:seed-Surry Hills-21,Surry Hills,Guest898,Singapore,9.9,2026-06-24,Room was spotless and the bed was very comfortable.,,,2026-08-04T02:07:05.314102,
native:seed-Surry Hills-9,Surry Hills,Guest544,United States,9.4,2026-06-15,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.260335,
native:seed-Surry Hills-22,Surry Hills,Guest762,Singapore,4.3,2026-06-14,"Great location, walking distance to everything we needed.",Room smelled musty and the bathroom wasn't very clean.,,2026-08-04T02:07:05.319715,
native:seed-Surry Hills-7,Surry Hills,Guest240,Japan,9.1,2026-06-11,Wifi was fast and the breakfast spread was generous.,,,2026-08-04T02:07:05.252092,
native:seed-Surry Hills-18,Surry Hills,Guest649,Singapore,9.0,2026-06-10,Excellent value for money compared to nearby hotels.,,,2026-08-04T02:07:05.302050,
native:seed-Surry Hills-13,Surry Hills,Guest449,New Zealand,7.4,2026-06-09,Excellent value for money compared to nearby hotels.,"Check-in took over 40 minutes, receptionist seemed overwhelmed.",,2026-08-04T02:07:05.280800,
